display_time	device_type	角度X(°)	角度Y(°)	角度Z(°)	加速度X(g)	加速度Y(g)	加速度Z(g)	accel_magnitude(g)	timestamp_unix_aligned	time_offset_seconds
05:23:30.598	WT4	-28.0	12.64	-85.02	-0.224	-0.457	0.865	1.003618453397505	1772774610.599	-28800.0
05:23:30.601	WT2	44.43	17.91	-47.44	-0.292	0.663	0.691	1.0011563314487901	1772774610.6019998	-28800.0
05:23:30.643	WT1	-8.58	67.87	-69.53	-0.987	0.183	0.023	1.004085155751244	1772774610.6430001	-28800.0
05:23:30.674	WT3	4.05	5.87	-108.28	-0.116	0.061	0.987	0.9956635978080146	1772774610.675	-28800.0
05:23:30.676	WT2	44.21	17.45	-47.86	-0.284	0.664	0.703	1.0078496911742345	1772774610.676	-28800.0
05:23:30.720	WT2	47.09	20.63	-44.12	-0.345	0.686	0.645	1.0028190265446701	1772774610.72	-28800.0
05:23:30.721	WT4	-27.96	12.5	-85.39	-0.219	-0.48	0.875	1.0217563310300553	1772774610.722	-28800.0
05:23:30.783	WT1	-6.64	67.85	-67.91	-1.001	0.193	-0.007	1.0194601512565362	1772774610.784	-28800.0
05:23:30.783	WT3	3.97	5.6	-108.7	-0.098	0.046	0.997	1.0028604090300903	1772774610.784	-28800.0
05:23:30.799	WT3	6.38	9.21	-105.01	-0.161	0.097	0.979	0.9968806347803131	1772774610.8	-28800.0
05:23:30.812	WT4	-27.86	12.23	-85.83	-0.201	-0.475	0.879	1.019150136142855	1772774610.812	-28800.0
05:23:30.812	WT2	43.98	17.17	-48.31	-0.289	0.66	0.701	1.0052472332714972	1772774610.813	-28800.0
05:23:30.851	WT1	-4.21	67.64	-65.86	-0.976	0.208	-0.021	0.998138767907549	1772774610.851	-28800.0
05:23:30.883	WT3	3.83	5.26	-109.22	-0.081	0.042	0.982	0.9862296892712163	1772774610.8830001	-28800.0
05:23:30.883	WT2	43.68	16.93	-48.87	-0.3	0.663	0.708	1.0152994632127015	1772774610.8830001	-28800.0
05:23:30.929	WT4	-27.76	12.01	-86.43	-0.2	-0.462	0.875	1.0094894749327503	1772774610.9299998	-28800.0
05:23:30.982	WT1	-2.66	67.62	-64.9	-0.973	0.196	-0.012	0.9926172474826337	1772774610.982	-28800.0
