时间	设备名称	加速度X(g)	加速度Y(g)	加速度Z(g)	角速度X(°/s)	角速度Y(°/s)	角速度Z(°/s)	角度X(°)	角度Y(°)	角度Z(°)	磁场X(uT)	磁场Y(uT)	磁场Z(uT)	位移X(mm)	位移Y(mm)	位移Z(mm)	速度X(mm/s)	速度Y(mm/s)	速度Z(mm/s)	四元数0()	四元数1()	四元数2()	四元数3()	温度(°C)	版本号()	电量(%)
2026-2-26 15:16:23.821	WT4(FA:E0:7F:9A:F3:3E)	0.749	-0.163	0.664	-0.610	2.197	2.380	-10.90	-47.50	107.25	-29.100	16.600	-49.573	null	null	null	null	null	null	0.57001	0.26971	-0.30933	0.71173	23.1	10080.1.21	100
2026-2-26 15:16:23.887	WT3(F3:2A:15:68:55:37)	-0.214	0.057	0.990	1.404	3.845	1.038	3.85	12.39	-23.43	-29.400	38.033	9.800	null	null	null	null	null	null	0.97302	0.05136	0.09631	-0.20300	22.4	10080.1.21	100
2026-2-26 15:16:23.898	WT2(CA:F4:44:5B:2A:5C)	-0.443	0.756	0.509	2.319	2.808	-1.831	53.79	23.55	-93.30	-6.500	-13.200	-27.127	null	null	null	null	null	null	0.53296	0.43530	-0.19162	-0.69974	22.1	10080.1.21	100
2026-2-26 15:16:23.898	WT1(D0:8E:86:5B:BD:44)	-0.089	0.987	0.006	-1.648	0.305	-6.409	-0.48	-6.10	-148.61	-11.900	-17.800	15.147	null	null	null	null	null	null	0.16959	0.21982	-0.67203	-0.68643	21.1	10080.1.21	100
2026-2-26 15:16:23.941	WT4(FA:E0:7F:9A:F3:3E)	0.740	-0.177	0.658	0.244	1.526	0.793	-11.41	-47.43	107.72	-29.100	16.600	-49.573	null	null	null	null	null	null	0.57001	0.26971	-0.30933	0.71173	23.1	10080.1.21	100
2026-2-26 15:16:23.978	WT3(F3:2A:15:68:55:37)	-0.219	0.049	0.983	1.648	5.310	0.610	3.99	12.54	-23.39	-29.400	38.033	9.800	null	null	null	null	null	null	0.97183	0.05756	0.10022	-0.20520	22.4	10080.1.21	100
2026-2-26 15:16:23.981	WT2(CA:F4:44:5B:2A:5C)	-0.426	0.744	0.523	3.906	3.784	-3.296	54.04	23.70	-93.30	-8.300	-12.800	-30.360	null	null	null	null	null	null	0.53296	0.43530	-0.19162	-0.69974	22.1	10080.1.21	100
2026-2-26 15:16:24.22	WT1(D0:8E:86:5B:BD:44)	-0.106	1.000	0.006	-1.953	-1.221	-8.972	-0.62	-5.84	-148.77	-11.900	-17.800	15.147	null	null	null	null	null	null	0.15979	0.21750	-0.67245	-0.68909	21.1	10080.1.21	100
2026-2-26 15:16:24.78	WT4(FA:E0:7F:9A:F3:3E)	0.746	-0.177	0.659	-3.296	-2.136	2.747	-11.84	-47.49	108.05	-31.300	19.600	-49.140	null	null	null	null	null	null	0.57001	0.26971	-0.30933	0.71173	23.1	10080.1.21	100
2026-2-26 15:16:24.80	WT1(D0:8E:86:5B:BD:44)	-0.099	0.989	0.011	-6.042	0.793	-3.235	-0.08	-6.03	-149.08	-11.900	-17.800	15.147	null	null	null	null	null	null	0.15979	0.21750	-0.67245	-0.68909	21.1	10080.1.21	100
